Frame		Tiempo	Cabeza X	Cabeza Y	Cabeza Z	Cuello X	Cuello Y	Cuello Z	Esternon X	Esternon Y	Esternon Z	Cintura X	Cintura Y	Cintura Z	Centro Cadera X	Centro Cadera Y	Centro Cadera Z	Hombro Izq X	Hombro Izq Y	Hombro Izq Z	Codo Izq X	Codo Izq Y	Codo Izq Z	Mano Izq X	Mano Izq Y	Mano Izq Z	Hombro Der X	Hombro Der Y	Hombro Der Z	Codo Der X	Codo Der Y	Codo Der Z	Mano Der X	Mano Der Y	Mano Der Z	Cadera Der X	Cadera Der Y	Cadera Der Z	Rodilla Der X	Rodilla Der Y	Rodilla Der Z	Tobillo Der X	Tobillo Der Y	Tobillo Der Z	Cadera Izq X	Cadera Izq Y	Cadera Izq Z	Rodilla Izq X	Rodilla Izq Y	Rodilla Izq Z	Tobillo Izq X	Tobillo Izq Y	Tobillo Izq Z	
1		0.49	-119.362	-232.575	1074.88	-127.484	-174.497	1075.61	-146.948	-21.6576	1052.01	-159.299	75.6851	1022.73	-174.493	196.807	983.938	-10.9158	-110.647	1065.35	70.0805	50.9532	983.569	3.96678	-33.1622	801.342	-246.428	-145.337	1049.7	-372.304	-2.31567	982.127	-335.264	93.5662	762.663	-232.724	188.124	979.635	0	0	0	0	0	0	-109.917	206.436	988.71	0	0	0	0	0	0	
2		0.761	-143.676	-237.531	1094.3	-144.58	-171.369	1083.26	-142.938	-2.62641	1025.72	-120.987	94.8076	964.537	-94.1079	218.671	891.047	-2.82693	-117.916	1066.48	83.375	89.7933	1036.04	-3.67135	-159.005	1012.53	-269.913	-130.676	1027.79	-453.494	4.16173	987.985	-333.8	89.6208	770.711	-159.604	223.588	875.381	0	0	0	0	0	0	-21.4754	213.217	908.421	0	0	0	0	0	0	
3		1.037	-153.508	-235.015	1094.85	-151.3	-168.521	1082.91	-142.733	0.532344	1022.73	-118.39	97.9156	960.66	-87.7876	218.704	881.495	-6.81338	-125.169	1056.03	86.3257	82.6183	1035.1	-8.93289	-164.515	995.769	-275.663	-124.906	1026.12	-459.346	11.8256	983.1	-336.052	85.494	770.134	-154.115	227.35	869.046	0	0	0	0	0	0	-14.2326	209.116	895.299	0	0	0	0	0	0	
4		1.299	-152.313	-237.795	1091.85	-149.916	-170.365	1081.92	-141.021	2.00836	1026.57	-116.06	98.9649	962.104	-84.7553	219.558	880.475	-3.92386	-129.791	1054.14	85.8829	81.862	1034.96	-14.2624	-166.244	993.013	-275.355	-124.743	1026.1	-461.219	12.9957	984.316	-336.832	83.6899	769.684	-151.714	228.864	868.543	0	0	0	0	0	0	-10.5003	209.239	893.706	0	0	0	0	0	0	
5		1.557	-152.615	-238.058	1091.57	-150.175	-170.607	1081.69	-141.175	1.84571	1026.48	-116.178	98.8508	962.055	-84.8257	219.483	880.443	-4.14419	-130.056	1053.86	85.6339	81.6879	1034.95	-14.791	-166.325	991.973	-275.619	-124.845	1025.92	-461.428	13.087	984.245	-336.979	83.8378	769.618	-151.796	228.814	868.509	0	0	0	0	0	0	-10.5585	209.135	893.677	0	0	0	0	0	0	
6		1.819	-150.487	-241.976	1098.45	-148.642	-173.61	1088.27	-141.131	1.1313	1031.86	-116.302	98.601	965.092	-84.9856	218.355	878.583	-1.57919	-130.337	1057.62	86.6013	85.2182	1035.79	-16.8209	-166.295	993.123	-275.32	-127.275	1030.11	-461.656	13.932	983.792	-335.582	81.3322	776.326	-152.91	227.221	866.268	0	0	0	0	0	0	-9.65997	208.522	892.239	0	0	0	0	0	0	
7		2.071	-149.495	-237.095	1094.4	-148.258	-169.288	1084.57	-141.844	4.16186	1029.38	-116.445	100.66	963.353	-84.3113	218.806	877.279	-1.67499	-126.879	1059.84	87.1016	86.0023	1036.54	-17.1257	-162.8	999.599	-274.847	-125.757	1027.82	-460.985	13.07	984.518	-335.298	85.7055	772.493	-151.45	227.384	863.988	0	0	0	0	0	0	-9.85691	209.294	892.018	0	0	0	0	0	0	
8		2.325	-148.796	-241.662	1098.05	-147.656	-172.817	1088.59	-141.756	3.52076	1033.9	-116.884	100.813	965.775	-85.3217	219.176	876.139	-0.276096	-127.425	1058.51	86.7747	90.021	1038.02	-17.9859	-162.108	996.687	-275.607	-127.08	1030.83	-462.438	15.5875	984.659	-337.389	82.8583	772.742	-153.536	227.405	862.986	0	0	0	0	0	0	-9.67422	210.05	890.725	0	0	0	0	0	0	
9		2.642	-146.586	-243.074	1102.46	-146.829	-173.793	1092.89	-142.777	3.73501	1037.95	-117.922	100.439	967.651	-86.3775	219.391	877.169	2.44571	-121.967	1082.09	85.7591	93.9507	1032.93	-27.6097	-160.422	1001.84	-275.397	-130.514	1031.85	-461.806	15.34	986.083	-337.395	83.056	773.133	-154.587	224.917	860.655	0	0	0	0	0	0	-10.7363	213.262	895.483	0	0	0	0	0	0	
10		2.95	-147.19	-242.417	1103.9	-147.534	-173.138	1094.36	-143.388	4.4137	1039.55	-118.562	100.85	968.886	-87.0703	219.585	878.12	2.02103	-122.034	1089.59	85.3659	91.9927	1032.88	-30.4373	-160.534	1005.26	-275.708	-130.366	1032.22	-461.987	15.3559	985.601	-336.79	83.3237	773.575	-155.238	224.864	861.376	0	0	0	0	0	0	-11.4755	213.73	896.689	0	0	0	0	0	0	
